year,austria,belgium,denmark,finland,france,germany,greece,ireland,italy,luxembourg,netherlands,portugal,spain,sweden,united_kingdom_note_1,bulgaria,croatia,cyprus,czechia,estonia,hungary,latvia,lithuania,malta,poland,romania,slovakia,slovenia,uk_rank_in_eu14_plus_uk,uk_rank_in_eu27_plus_uk,currency,unit,gbp_to_usd_rate
2500.0,28.18437279710471,25.90176227506761,27.804162470627727,26.16692315325452,24.800182405249117,23.450811164569522,27.739988007794935,23.768639754991344,28.110563996756646,28.690948663729955,30.61348816314306,30.47573971728135,24.031136934597864,28.693464052287577,24.3125,,,,,,,,,,,,,,5.0,,USD,USD per litre (converted from GBP),1.25
2500.0,27.019687070776072,26.994186896844067,24.851124387460565,27.065372965136334,23.53882952693546,19.695760879013,25.493624981323777,23.47443509352891,26.19683577187066,26.156138215513675,27.654818465224555,32.19048094093236,24.17467214789706,25.51393016793525,24.0375,,,,,,,,,,,,,,5.0,,USD,USD per litre (converted from GBP),1.25
2500.0,27.165664084358625,26.089169779796183,27.816903060608908,27.678786498882392,23.67242631757875,21.26056137292096,27.956440592955865,28.237450384984587,27.54540288802698,27.909867153860077,30.345559306805345,29.41360072225936,24.97269188813963,27.94076481257558,23.587500000000002,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2500.0,31.15473499851021,32.51558134749963,33.13260820030291,28.81075544970929,28.01710968823844,27.303896555426597,32.53213723451656,28.2613019386361,31.804503142640236,33.34931420256372,33.998824709240324,33.173791163296464,27.852620112269065,32.61144973288004,28.6375,,,,,,,,,,,,,,6.25,,USD,USD per litre (converted from GBP),1.25
2500.0,31.50542502707063,28.58426768534379,30.311641679059985,31.178827494689465,28.58185673756055,26.43103183814544,31.345444015444013,30.488417449248566,32.40041109969167,31.252184561687066,32.27330274854677,36.859940044492774,27.725475701080626,30.3553161259768,29.025,,,,,,,,,,,,,,6.25,,USD,USD per litre (converted from GBP),1.25
2500.0,28.29889755310567,28.538662713591265,26.891903485254694,31.21488126773331,25.123614505219095,23.8531774233957,28.441441794232823,29.051383760557876,29.746392393622795,27.62822912302708,29.598086862608962,35.12371185443082,26.016765833663893,27.465238066574372,24.4375,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2500.0,29.89322089634674,31.972609624714,29.79731946750951,32.71025750832951,28.128758821081263,26.54084199546996,30.959148457109112,31.66464884123703,31.60071942446043,30.480832872664536,33.83924155174683,35.95018037778953,26.741150848028084,31.185202288029554,24.2625,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2500.0,28.039573810164022,27.98290774146689,27.742874969809197,29.859892982022394,25.845690685517503,25.583761114207263,28.427285221849033,29.1581903185011,30.534281660099055,27.89729895215407,31.103672897069035,35.251719730449615,26.795547401824674,29.856233561283535,23.5125,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2500.0,29.406603053712487,26.534443565799613,26.63606381552487,25.59698607235781,26.093473810021088,25.59175388454007,28.271795384389247,29.206738753929848,30.585121289902748,27.943748001358458,29.48337122398138,35.310413902494986,28.130962941593648,26.687587039272124,26.262500000000003,,,,,,,,,,,,,,5.0,,USD,USD per litre (converted from GBP),1.25
2500.0,27.553451505417755,24.464471900029498,24.605757880617034,27.009106030714477,25.11225764417485,24.170267865816562,26.623366507703597,27.066595222737448,29.646588647244446,24.910575509607114,26.419821573619032,35.50410467024471,27.208702730397988,24.422219428624892,23.900000000000002,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2501.25,24.890489669556622,25.770196505197088,25.561411733190464,26.40917616507981,21.927200487227058,19.53963790308974,25.0777038884813,32.772846397245175,27.49343707230913,25.970118914523837,28.878777153073685,39.195730788799004,24.530505871888263,25.963966401713737,20.7375,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2501.25,26.224292348277295,28.192530844151822,27.071545821217523,27.300264012997562,23.87420806546771,25.36618660619788,26.930368415260453,32.729866715593914,28.07133952134775,27.783943440613392,29.91750275671481,38.52692448698637,25.620494437632967,27.11987691284098,21.0625,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2501.25,17.325165694061898,25.95061744079683,25.49076641749055,27.153125331119973,23.88288885551949,24.414334323535275,26.453486610418192,25.11301859277468,27.69242209247677,26.40828311423677,27.878384633186755,38.56373951277421,25.449498079766325,25.938422433584776,21.125,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2501.25,26.915550260532104,27.214549056889084,28.808303329123788,29.65732674961695,28.557167943173113,25.998671280223746,29.182975238444605,24.49767971237893,28.333080897808674,28.135949147122332,30.325178902850194,37.6188205175527,25.98110094899811,31.38286581998895,23.47625,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2501.25,31.1375,33.0875,32.725,29.625,28.8125,29.674999999999997,32.5625,24.7125,31.775000000000002,32.4875,35.825,37.95,28.3625,31.85,25.9,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2501.25,30.02473147387775,27.20550868990751,27.9432968949098,32.96039237402304,26.550451287203277,25.694046772981302,29.371100513572998,24.695612039148564,30.968721756263335,28.909187925602193,30.03542889037124,37.73540143254756,29.802657675525587,28.165120087336245,26.6875,,,,,,,,,,,,,,5.0,,USD,USD per litre (converted from GBP),1.25
2501.25,26.90233879348561,23.337106066202452,25.188280893140238,28.676784431852774,22.48556006719953,20.732576450918536,26.049930007336755,28.371364422446938,27.145572260067038,25.772752287437505,25.92582508587791,36.9009275146896,25.71933260610869,24.41035428202785,25.5,,,,,,,,,,,,,,7.5,,USD,USD per litre (converted from GBP),1.25
2501.25,26.2766821944289,23.99277886162335,27.118793921234023,29.21675202203935,22.26569241581384,22.477965876379848,26.40666647101981,31.69668877703907,27.47178957480103,25.993644010024816,27.5327062090747,38.72940712881955,25.533220944069814,25.474562461297786,24.45,,,,,,,,,,,,,,5.0,,USD,USD per litre (converted from GBP),1.25
2501.25,26.394704693938355,27.03316691414703,28.758378349324087,29.164309765159203,23.36822040164218,22.807380242659132,28.239277329420396,30.993657023429204,27.759289355306855,27.138354334046436,29.057589247224,37.87038986043635,25.362414506028152,26.29727690082385,24.025,,,,,,,,,,,,,,3.75,,USD,USD per litre (converted from GBP),1.25
2501.25,24.879470287711747,23.603503912999287,24.100323352649337,24.344718415568813,20.685999692052984,18.269375214103476,23.672405832721935,26.35740222381927,26.087311118800578,22.83959243825592,24.37369821800509,38.490109461198514,23.491797987811474,22.277919249102943,22.625,,,,,,,,,,,,,,5.0,,USD,USD per litre (converted from GBP),1.25
2501.25,21.91910864043662,19.143066015285115,22.290327071452538,22.605819249696847,17.934185186681443,17.38229063875695,21.202361371973588,25.779665446236756,22.70971067116156,20.703941692964037,22.0645354878818,37.64643178689359,20.41958533169858,19.852505658452614,17.65,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2501.25,20.975,18.75,20.299999999999997,22.137500000000003,16.981250000000003,16.7375,20.5875,24.4,21.9125,20.075,21.200000000000003,38.025000000000006,20.0875,19.4,17.3625,,,,,,,,,,,,,,3.75,,USD,USD per litre (converted from GBP),1.25
2502.5,20.775000000000002,21.1375,21.887500000000003,20.2375,17.525,17.575,22.0625,24.637500000000003,22.1875,21.9375,23.0125,30.012500000000003,20.4875,20.2375,17.0875,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2502.5,21.037499999999998,20.049999999999997,21.8,21.95,17.7375,18.25,22.862499999999997,25.6,22.775,21.9375,22.925,19.6125,20.7375,20.4375,17.2,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2502.5,23.387500000000003,21.0625,24.9375,22.425,19.7625,21.662499999999998,25.162499999999998,25.0625,24.45,23.4375,25.299999999999997,20.299999999999997,22.85,26.175,18.787499999999998,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2502.5,26.241340000000008,26.273491000000003,28.680223000000012,24.038231,22.703964499999998,24.840474999999998,28.331155000000003,24.695030000000003,26.876704999999998,27.2908405,28.6297,20.974700000000006,25.714676000000004,25.982601000000003,22.4625,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2502.5,26.104603,25.6917185,26.301288999999997,27.6882375,22.38317899999999,22.267665,26.544805,25.17893,27.4041355,25.9446005,27.08335,25.2882,25.683132999999998,24.6271165,22.2372255,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2502.5,25.983431125,24.22682075,26.04897025,28.119521125000002,21.613347000000005,22.493675,26.9762275,27.975496875,27.493258374999996,25.593432874999998,27.024775,25.730175000000003,24.688021999999997,24.00026575,21.46284975,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2502.5,26.143396125,25.45961,28.163491125,25.700899125,20.985740875000005,22.381369999999997,26.814356250000003,27.450846499999997,26.844016375000002,25.356200375,27.1750875,24.850375,25.11170475,23.840327499999997,21.05,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2502.5,25.7,24.9625,26.85,28.075000000000003,21.65,22.8875,27.425,26.7375,26.6875,26.612499999999997,27.7,24.75,25.0875,24.737499999999997,21.1125,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2502.5,27.599999999999998,28.142183749999997,28.12960975,27.233712250000004,22.374647125,24.047774999999998,27.867127500000002,25.742907375,27.152767125,27.380670875,28.60585,24.399061125000003,25.4340585,25.512646,21.687792375000004,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2502.5,26.562675,25.816677249999998,27.84841,27.7978375,22.92910375,23.952477499999997,27.17906825,25.88621925,27.535474999999998,26.616412500000003,28.891537500000002,24.5348875,25.949439249999998,26.24025,21.9247,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2502.5,24.975,23.375,23.95,24.725,21.0,21.299999999999997,23.25,26.349999999999998,26.05,23.975,24.125,26.0625,22.5625,21.462500000000002,21.549999999999997,,,,,,,,,,,,,,5.0,,USD,USD per litre (converted from GBP),1.25
2502.5,24.929503500000003,23.13466875,26.017911749999996,26.028300375,20.958651374999995,21.0489525,25.129284749999997,24.93749475,26.442247124999998,25.205201625,27.2501625,24.6929625,23.596563000000003,23.025188625,21.087310499999997,,,,,,,,,,,,,,3.75,,USD,USD per litre (converted from GBP),1.25
2503.75,27.525,25.0625,27.775,23.925,23.4375,24.849999999999998,27.6875,26.0125,28.737499999999997,27.2125,27.8375,24.625,26.3625,24.950000000000003,22.4625,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2503.75,29.4375,28.650000000000002,30.987499999999997,29.2625,26.425,27.925,31.1875,26.675,30.525000000000002,30.4375,31.825000000000003,26.225,27.6125,28.825,24.275000000000002,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2503.75,31.175,29.55,31.175,29.2875,27.225,27.237499999999997,31.175,28.275000000000002,32.3125,29.925,32.112500000000004,28.825,29.8875,28.450000000000003,26.2875,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2503.75,27.9,26.675,27.237499999999997,26.7875,23.975,24.55,27.5,29.224999999999998,29.175,29.275000000000002,29.4375,28.5,26.675,26.5,25.9125,,,,,,,,,,,,,,3.75,,USD,USD per litre (converted from GBP),1.25
2503.75,27.4625,23.6625,26.675,26.95,22.125,24.212500000000002,26.65,30.8125,28.975,26.2125,27.8875,29.3,26.0625,23.737499999999997,23.4,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2503.75,27.025000000000002,24.6125,26.45,25.75,21.1875,23.8125,28.0,29.3,28.5,26.9,28.95,26.5,25.3875,25.7375,21.862499999999997,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2503.75,25.724999999999998,24.787499999999998,29.1,27.4375,21.325,25.0625,28.5125,26.7375,28.6625,27.475,29.8875,25.275,26.575000000000003,26.425,21.95,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2503.75,28.670903625,26.505618750000004,30.115306,31.288058749999998,22.673512875000004,25.99572625,29.995745,26.617267624999997,30.6181655,27.807602875,32.0880625,25.5825375,27.821668875,25.438361000000004,23.287499999999998,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2503.75,29.058142500000002,27.13061025,29.40036525,25.4265345,22.648283999999997,23.418945,29.84112,26.63619075,31.100922,30.4974135,28.987762500000002,27.096300000000003,27.4358835,26.656425000000002,23.6875,,,,,,,,,,,,,,3.75,,USD,USD per litre (converted from GBP),1.25
2503.75,26.7375,25.65,30.637500000000003,26.95,20.7,23.8125,27.662499999999998,26.662499999999998,28.825,26.349999999999998,29.75,27.1125,25.637500000000003,24.9625,21.8,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2503.75,25.775000000000002,26.974999999999998,27.174999999999997,20.2875,20.5875,22.575,27.05,26.275,28.0375,26.299999999999997,28.0625,24.975,25.0,24.575,21.825000000000003,,,,,,,,,,,,,,3.75,,USD,USD per litre (converted from GBP),1.25
2503.75,26.7625,25.724999999999998,26.887500000000003,19.6,20.6875,23.375,26.8375,24.224999999999998,28.1,26.875,27.7,25.5125,25.412499999999998,24.112499999999997,21.85,,,,,,,,,,,,,,3.75,,USD,USD per litre (converted from GBP),1.25
2505.0,25.125,25.7375,26.9,22.9375,21.150000000000002,23.675,28.112499999999997,23.925,27.2125,25.575000000000003,28.825,24.3,25.5,25.25,22.1875,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2505.0,26.025,22.475,26.275,23.8375,21.25,23.3625,27.625,25.7375,28.0375,27.0,28.375,24.45,25.8,25.474999999999998,22.3625,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2505.0,28.224999999999998,26.0,25.637500000000003,25.099999999999998,23.137500000000003,25.1875,29.55,25.6625,29.15,28.224999999999998,30.3375,25.5625,26.875,26.6875,23.2,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2505.0,28.1625,26.175,26.4375,25.875,22.9875,26.612499999999997,29.5625,24.674999999999997,29.15,28.450000000000003,29.987499999999997,24.575,27.4625,26.5,23.900000000000002,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2505.0,33.6512435,31.888531,31.442543500000003,32.150177,28.7122505,30.998255,34.8881155,28.2484235,33.155985,34.7284095,37.123149999999995,30.311009499999997,31.92421,32.845068,27.3125,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2505.0,32.034310125,28.503426125,27.612408875,27.619875500000003,24.8721575,26.589481250000002,31.659319625000002,27.587520125,32.746128375,32.580203375,31.9140145,32.203553625,30.4472375,27.782482,28.0375,,,34.5,30.5,27.875,30.375,28.875,31.125,34.125,29.875,,30.375,28.875,8.75,10.0,USD,USD per litre (converted from GBP),1.25
2505.0,31.625,30.6875,30.6,28.6875,26.299999999999997,29.9125,32.35,31.775000000000002,33.1,32.725,34.725,30.125,30.5625,31.462500000000002,26.6,,,31.875,29.625,25.0,30.637500000000003,27.625,30.375,34.125,29.625,,30.125,27.125,2.5,3.75,USD,USD per litre (converted from GBP),1.25
2505.0,32.975,31.175,29.3125,30.85,26.237499999999997,30.65,33.7125,31.9375,34.05,31.974999999999998,34.2625,31.65,31.924999999999997,29.6125,27.450000000000003,,,33.25,29.849999999999998,26.5,32.1,28.55,31.75,34.2875,30.2375,,31.05,28.675,2.5,3.75,USD,USD per litre (converted from GBP),1.25
2505.0,32.325,29.474999999999998,30.5625,29.700000000000003,25.950000000000003,28.525,33.6375,31.9875,34.3125,31.6375,33.575,31.375,31.862499999999997,29.787499999999998,27.5625,,,33.725,29.7625,25.7375,32.15,29.162499999999998,31.662499999999998,38.6,30.85,,31.175,29.224999999999998,2.5,3.75,USD,USD per litre (converted from GBP),1.25
2505.0,36.1375,34.474999999999994,33.6875,33.275,29.7125,33.512499999999996,37.025,32.325,36.1125,36.4375,38.35,33.375,34.625,33.55,29.5625,,,36.7625,32.1375,28.525,34.4125,31.425,33.9375,39.075,33.224999999999994,,32.7875,31.825000000000003,1.25,2.5,USD,USD per litre (converted from GBP),1.25
2505.0,33.512499999999996,31.45,30.212500000000002,30.049999999999997,27.15,29.2375,34.375,32.45,36.125,32.3625,33.8125,33.3875,32.4375,30.9,30.6625,,,33.849999999999994,31.1125,29.2875,34.1,30.924999999999997,33.575,39.612500000000004,32.925,,33.25,30.45,6.25,8.75,USD,USD per litre (converted from GBP),1.25
2505.0,30.8125,28.775,27.137500000000003,27.650000000000002,24.125,23.35,29.849999999999998,33.849999999999994,32.6125,27.725,30.1125,31.462500000000002,29.925,26.262500000000003,28.799999999999997,,,32.4375,28.537499999999998,27.8375,29.6625,30.2875,29.025,39.225,31.9125,,29.474999999999998,27.875,10.0,13.75,USD,USD per litre (converted from GBP),1.25
2506.25,29.325000000000003,28.0375,29.6,29.837500000000002,24.5125,26.675,30.65,29.4375,30.6,30.075,33.75,27.662499999999998,28.5625,29.387500000000003,25.162499999999998,,,31.412499999999998,25.362499999999997,24.900000000000002,29.4,31.425,27.4125,37.5375,27.7,,27.974999999999998,24.3375,2.5,5.0,USD,USD per litre (converted from GBP),1.25
2506.25,29.45,29.849999999999998,30.125,26.200000000000003,27.137500000000003,26.0,32.7,28.7875,33.325,30.975,34.275000000000006,30.1375,30.837500000000002,29.2375,26.1875,,,32.4375,24.8625,26.425,30.35,31.662499999999998,29.4375,36.875,29.65,,29.2375,28.174999999999997,2.5,3.75,USD,USD per litre (converted from GBP),1.25
2506.25,33.075,31.45,31.299999999999997,28.925,29.3125,29.5,34.2625,28.912499999999998,36.9875,33.7,35.875,31.1875,32.7,31.425,27.75,,,33.8875,27.1125,29.0375,32.112500000000004,33.3,32.287499999999994,37.2375,30.85,,29.387500000000003,28.962500000000002,1.25,2.5,USD,USD per litre (converted from GBP),1.25
2506.25,35.925,34.2125,34.025,28.975,31.1375,31.875,37.8625,32.7,39.825,35.4625,37.574999999999996,34.4375,34.300000000000004,32.6875,31.924999999999997,,,36.1125,31.9625,30.525000000000002,34.975,36.2625,33.775,37.737500000000004,32.95,,32.375,34.125,5.0,6.25,USD,USD per litre (converted from GBP),1.25
2506.25,35.2625,35.6125,32.7,33.55,30.299999999999997,32.55,36.375,34.0125,37.5125,35.0625,36.662499999999994,35.1125,34.162499999999994,32.4625,31.724999999999998,,,36.7625,32.6875,30.299999999999997,33.475,33.5,33.2375,38.0,32.6625,,32.85,32.45,2.5,3.75,USD,USD per litre (converted from GBP),1.25
2506.25,35.5625,35.212500000000006,35.05,33.075,30.775000000000002,33.3125,36.525,33.1,37.55,36.225,38.849999999999994,33.125,34.5125,33.4625,28.912499999999998,,,34.4125,33.3125,31.7375,34.4875,32.912499999999994,33.525,36.974999999999994,33.2875,,33.8375,31.099999999999998,1.25,1.25,USD,USD per litre (converted from GBP),1.25
2506.25,40.3125,40.9,39.425,34.275000000000006,35.675,37.287499999999994,40.875,36.949999999999996,41.025,42.487500000000004,43.75,39.225,39.612500000000004,39.525,35.0125,,,40.175,37.400000000000006,36.949999999999996,38.6125,37.2125,39.525,38.175,37.400000000000006,,36.3625,36.2375,2.5,2.5,USD,USD per litre (converted from GBP),1.25
2506.25,41.95,43.075,41.5,40.45,37.8125,39.9125,43.7125,39.1125,42.300000000000004,44.262499999999996,45.2625,40.3625,41.425,40.7625,37.3,,,43.849999999999994,37.65,38.375,41.0125,38.962500000000006,39.8875,37.5125,39.3875,,39.275000000000006,38.25,1.25,1.25,USD,USD per litre (converted from GBP),1.25
2506.25,46.987500000000004,44.787499999999994,44.800000000000004,47.625,42.425,43.949999999999996,49.349999999999994,38.9,45.875,47.837500000000006,50.575,43.5,45.4625,43.075,41.95,,,47.325,47.400000000000006,43.537499999999994,43.724999999999994,44.074999999999996,43.637499999999996,37.3125,44.387499999999996,,43.849999999999994,39.449999999999996,2.5,5.0,USD,USD per litre (converted from GBP),1.25
2506.25,44.4125,43.75,42.225,43.6125,38.675000000000004,41.125,45.475,46.137499999999996,46.875,43.425000000000004,44.675000000000004,45.675,43.075,38.849999999999994,41.125,,,46.4375,44.525,40.3625,41.3375,41.7,41.6125,48.6625,46.775000000000006,,41.037499999999994,40.2375,3.75,7.5,USD,USD per litre (converted from GBP),1.25
2506.25,39.162499999999994,38.5625,36.75,35.85,32.925,35.025,38.15,45.35,39.8875,39.175,39.525,39.900000000000006,38.075,34.9625,37.1875,,,39.6875,39.9125,34.4375,37.5375,37.1875,36.45,57.625,42.074999999999996,,37.475,39.787499999999994,7.5,10.0,USD,USD per litre (converted from GBP),1.25
2506.25,36.8125,36.075,37.65,33.7125,32.9875,32.975,38.25,40.112500000000004,37.9375,37.95,41.4875,37.35,37.225,33.35,34.162499999999994,,,38.537499999999994,35.5875,34.0375,36.125,36.1875,36.6,57.6625,39.05,,37.625,34.3375,6.25,7.5,USD,USD per litre (converted from GBP),1.25
2507.5,38.6875,41.662499999999994,40.5375,36.175000000000004,36.9,37.15,41.7,38.2625,41.625,41.550000000000004,41.8125,38.987500000000004,39.0125,36.75,35.6375,,,40.55,35.125,36.462500000000006,38.8375,38.4375,39.925000000000004,58.3625,36.949999999999996,,39.7,34.75,1.25,3.75,USD,USD per litre (converted from GBP),1.25
2507.5,39.5125,38.8,38.675000000000004,34.35,36.4375,37.025,41.2,38.1625,41.3875,40.25,40.7625,40.599999999999994,39.1,34.725,36.3,,,41.349999999999994,36.2375,38.5,38.6875,35.7375,38.875,53.825,36.6,,39.3625,36.925,3.75,6.25,USD,USD per litre (converted from GBP),1.25
2507.5,39.6,38.2375,39.3375,40.724999999999994,36.3125,35.625,41.775000000000006,39.525,41.6375,39.425,44.0625,39.300000000000004,39.449999999999996,37.912499999999994,36.2625,,,40.912499999999994,34.95,37.5375,36.475,38.0625,38.975,50.7625,35.225,,38.3125,37.475,2.5,5.0,USD,USD per litre (converted from GBP),1.25
2507.5,45.412499999999994,45.3625,46.1125,42.95,43.5125,44.400000000000006,47.4375,39.125,47.6625,48.7,49.699999999999996,45.9,45.599999999999994,44.4625,41.275000000000006,,,44.0625,42.75,43.35,41.362500000000004,43.012499999999996,45.8875,52.425,45.125,,43.275,40.45,2.5,3.75,USD,USD per litre (converted from GBP),1.25
